1,安藤,C:\AL_Work\Assets\Resources\Textures\Chara\1 (1).png
2,井浦,C:\AL_Work\Assets\Resources\Textures\Chara\1 (2).png
3,植松,C:\AL_Work\Assets\Resources\Textures\Chara\1 (3).png
4,遠藤,C:\AL_Work\Assets\Resources\Textures\Chara\1 (4).png
5,小柳,C:\AL_Work\Assets\Resources\Textures\Chara\1 (5).png
6,貝原,C:\AL_Work\Assets\Resources\Textures\Chara\1 (6).png
7,北島,C:\AL_Work\Assets\Resources\Textures\Chara\1 (7).png
8,栗沢,C:\AL_Work\Assets\Resources\Textures\Chara\1 (8).png
9,湯島,C:\AL_Work\Assets\Resources\Textures\Chara\1 (9).png
10,古田島,C:\AL_Work\Assets\Resources\Textures\Chara\1 (10).png
11,斎川,C:\AL_Work\Assets\Resources\Textures\Chara\1 (11).png
12,志村,C:\AL_Work\Assets\Resources\Textures\Chara\1 (12).png
13,杉山,C:\AL_Work\Assets\Resources\Textures\Chara\1 (13).png
14,矢島,C:\AL_Work\Assets\Resources\Textures\Chara\1 (14).png
15,反町,C:\AL_Work\Assets\Resources\Textures\Chara\1 (15).png
16,谷内,C:\AL_Work\Assets\Resources\Textures\Chara\1 (16).png
17,地井,C:\AL_Work\Assets\Resources\Textures\Chara\1 (17).png
18,津川,C:\AL_Work\Assets\Resources\Textures\Chara\1 (18).png
19,手塚,C:\AL_Work\Assets\Resources\Textures\Chara\1 (19).png
20,戸畑,C:\AL_Work\Assets\Resources\Textures\Chara\1 (20).png
21,中原,C:\AL_Work\Assets\Resources\Textures\Chara\1 (21).png
22,新島,C:\AL_Work\Assets\Resources\Textures\Chara\1 (22).png
23,布川,C:\AL_Work\Assets\Resources\Textures\Chara\1 (23).png
24,根津,C:\AL_Work\Assets\Resources\Textures\Chara\1 (24).png
25,野村,C:\AL_Work\Assets\Resources\Textures\Chara\1 (25).png
26,灰谷,C:\AL_Work\Assets\Resources\Textures\Chara\1 (26).png
27,日村,C:\AL_Work\Assets\Resources\Textures\Chara\1 (27).png
28,布施,C:\AL_Work\Assets\Resources\Textures\Chara\1 (28).png
29,辺見,C:\AL_Work\Assets\Resources\Textures\Chara\1 (29).png
30,細川,C:\AL_Work\Assets\Resources\Textures\Chara\1 (30).png
31,松井,C:\AL_Work\Assets\Resources\Textures\Chara\1 (31).png
32,三浦,C:\AL_Work\Assets\Resources\Textures\Chara\1 (32).png
